,,Projects,,,,,Investments,,,Bank loans,,,,,,,,Bank loans 2,,,,,Status,,,,
Recife,Mobility and Transport,Integrated Terminal Cosme and Damião,Implementation of new bus terminal.,Maintained,Public,Public,"15.800.000,00","24.500.000,00","16.900.000,00",Caixa,"15.000.000,00","15.000.000,00",031991277,26/12/2011,"14.550.000,00","14.550.000,00",completed,,,,,,06/2012,Uncompleted,,12/2021,Delivered
Recife,Mobility and Transport,Cosme and Damião Stations - Surrounding areas,N/A,Added,Public,Public,N/A,"7.400.000,00",unknown,N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,06/2014,Delivered
Recife,Stadium,Arena Pernambuco,Reconstruction of the Arena Pernambuco.,Maintained,Public,PPP,"491.100.000,00","532.600.000,00","532.600.000,00",BNDES,"400.000.000,00","400.000.000,00",,,"400.000.000,00",,active,,,,,,12/2012,Delivered,,05/2013,Delivered
Recife,Mobility and Transport,BR-408 Viaduct,N/A,Added,Public,Public,N/A,"25.000.000,00",unknown,N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,04/2013,Delivered
Recife,Airport,International Airport Recife/ Guararapes - Gilberto Freyre,Construction of a new Control Tower.,Removed,Public,Private,"19.800.000,00",N/A,unknown,N/A,0,N/A,,,,,,,,,,,02/2013,Unknown,,unknown,Shelved
Recife,Port,Port of Recife,Works in the warehouse and construction of a new maritime passenger terminal.,Maintained,Public,Public,"21.800.000,00","28.100.000,00","24.515.740,00",N/A,0,0,,,,,,,,,,,12/2013,Delivered,,10/2013,Delivered
Rio de Janeiro,Mobility and Transport,Transcarioca BRT (Airport/ Penha / Barra),"It connects the Tom Jobim International Airport to the Alvorada terminal (Barra da Tijuca). Goal: 41km, 44 stations and 4 terminals.",Maintained,Public,Public,"1.610.000.000,00","1.969.600.000,00","1.960.807.164,00",BNDES,"1.179.000.000,00","1.171.120.000,00",25497580001,27/12/2010,"619.631.000,00","619.631.000,00",completed,25497580002,27/12/2010,"559.369.000,00","559.369.000,00",completed,12/2013,Uncompleted,Yes,10/2014,Delivered
Rio de Janeiro,Mobility and Transport,Surroundings of the Maracanã Stadium,N/A,Added,Public,Public,N/A,"109.000.000,00","109.544.632,07",N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,03/2014,Delivered
Rio de Janeiro,Mobility and Transport,Modernization of the Maracanã Multimodal Station,N/A,Added,Public,Public,N/A,"178.100.000,00","177.942.392,65",N/A,N/A,0,,,,,,,,,,,N/A,Delivered ,Yes,12/2014,Delivered
Rio de Janeiro,Stadium,Maracanã Stadium,Reconstruction of the Maracanã.,Maintained,Public,Public,"828.000.000,00","1.050.000.000,00","1.050.000.000,00",BNDES,"400.000.000,00","400.000.000,00",,,"400.000.000,00",,active,,,,,,12/2012,Delivered,,06/2013,Delivered
Rio de Janeiro,Airport,Tom Jobim International Airport - Terminal 1,Renovation of the airport terminal 1.,Maintained,Public,Private,"301.100.000,00","115.900.000,00",unknown,N/A,0,0,,,,,,,,,,,09/2012,Uncompleted,,07/1905,Delivered
Rio de Janeiro,Airport,Tom Jobim International Airport - Terminal 2,Renovation of the airport terminal 2.,Maintained,Public,Public,"386.200.000,00","188.700.000,00","38.424.672,81",N/A,0,0,,,,,,,,,,,07/2013,Delivered,,04/2014,Delivered
Rio de Janeiro,Airport,Recuperação e revitalização dos sistemas de pistas e pátios,N/A,Added,Public,Public,N/A,"139.100.000,00","72.917.190,70",N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,03/2014,Delivered
Rio de Janeiro,Port,Port of Rio de Janeiro,New piers,Removed,Public,Public,"314.000.000,00",N/A,"0,00",N/A,0,N/A,,,,,,,,,,,12/2013,Shelved,,,Shelved
Salvador,Mobility and Transport,Corridor/North Access BRT,"It connects the Airport to the North Access Station. Goal: 19km, 27 stations and 4 terminals",Removed,Public,Public,"570.300.000,00",N/A,"0,00",Caixa,"541.800.000,00",N/A,31956352,26/08/2010,"541.800.000,00",0,rescinded,,,,,,05/2013,Unknown,,,Shelved
Salvador,Mobility and Transport,Micro Accessibility,N/A,Added,Public,Public,N/A,"12.400.000,00",unknown,N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,07/2013,Delivered
Salvador,Mobility and Transport,Pedestrian Routes,N/A,Added,Public,Public,N/A,"7.200.000,00","17.656.655,00",N/A,N/A,0,33683820,,,,,,,,,,N/A,Uncompleted,,06/2014,Delivered
Salvador,Stadium,Arena Fonte Nova,Reconstruction of the Arena Fonte Nova,Maintained,Public,Public,"591.700.000,00","689.400.000,00","689.400.000,00",BNDES,"323.600.000,00","323.600.000,00",,,323.629.000.00,,active,,,,,,12/2012,Delivered,,03/2013,Delivered
Salvador,Airport,Luís Eduardo Magalhães International Airport,Renovation and adaptation of the airport terminal and expansion of the airport apron.,Maintained,Public,Private,"30.000.000,00","79.200.000,00",unknown,N/A,0,0,,,,,,,,,,,03/2013,Uncompleted,Yes,unknown,Unknown
Salvador,Airport,Control Tower,Construction of a new control tower.,Maintained,Public,Public,"15.100.000,00","16.100.000,00","17.499.021,47",N/A,0,0,,,,,,,,,,,05/2012,Uncompleted,,02/2016,Delivered
Salvador,Airport,Luís Eduardo Magalhães International Airport,N/A,Added,Public,Public,N/A,"17.600.000,00","15.051.320,09",N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,12/2013,Delivered
Salvador,Port,Port of Salvador,Adaptation of a warehouse for the maritime passenger terminal.,Maintained,Public,Public,"36.000.000,00","40.700.000,00","42.129.576,60",N/A,0,0,,,,,,,,,,,12/2013,Uncompleted,Yes,04/2015,Delivered
São Paulo,Mobility and Transport,Line 17 - Gold Monorail,"It connects the Congonhas Airport to underground lines 1 (blue), 5 (lilac), 4 (yellow) and 9 (emerald). Goals: 18km, 18 stations and 24 trains.",Removed,Public,Public,"2.860.000.000,00",N/A,"4.103.000.000,39",Caixa,"1.082.000.000,00",N/A,031958060,31/08/2010,"1.082.000.000,00","716.628.336,62",active,,,,,,03/2013,Uncompleted,,,Uncompleted
São Paulo,Stadium,São Paulo Arena,Construction of a new Arena in São Paulo.,Maintained,,Private,0,"1.080.000.000,00","1.080.000.000,00",BNDES,"400.000.000,00","400.000.000,00",,,"400.000.000,00",,unknown,,,,,,N/A,Delivered,,05/2014,Delivered
São Paulo,Mobility and Transport,Road Interventions around Arena Itaquera,N/A,Added,,Public,N/A,"610.500.000,00","334.750.124,03",N/A,N/A,0,,,,,,,,,,,N/A,Delivered,Yes,06/2014,Delivered
São Paulo,Airport,São Paulo International Airport/ Guarulhos -Gov. André Franco Montoro (1/8),Construction of the airport passenger terminal.,Removed,Public,Private,"716.600.000,00",N/A,unknown,N/A,0,N/A,,,,,,,,,,,11/2013,Delivered,,05/2014,Delivered
São Paulo,Airport,São Paulo International Airport/ Guarulhos - Embankment of the Airport Passenger Terminal 3,N/A,Added,Public,Private,N/A,"235.500.000,00",unknown,N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,unknown,Delivered
São Paulo,Airport,"Concession for the expansion, maintenance and operation of the São Paulo International Airport - Phase 1B",N/A,Added,Private,Private,N/A,"1.420.000.000,00","17.697.076.000,00",N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,02/2012,Delivered
São Paulo,Airport,Implementation of the Airport Passenger Terminal 4 - Phase 1,N/A,Added,Public,Private,N/A,"83.700.000,00",unknown,N/A,N/A,0,,,,,,,,,,,N/A,Delivered,,unknown,Delivered
São Paulo,Airport,International Airport of São Paulo/ Guarulhos – Gov. André Franco Montoro (2/8),Construction of the Operational Module - 1,Removed,Public,Private,"32.500.000,00",N/A,unknown,N/A,0,N/A,,,,,,,,,,,01/2012,Delivered,,09/2011,Delivered
São Paulo,Airport,International Airport of São Paulo/ Guarulhos – Gov. André Franco Montoro (3/8),Construction of the Operational Module - 2,Removed,Public,Private,"23.200.000,00",N/A,unknown,N/A,0,N/A,,,,,,,,,,,01/2013,Unknown,,unknown,Shelved
São Paulo,Airport,Expansion and Revitalization of the Runway System - PR-B and PR -FF (4/8),Expansion and revitalization of the taxiing areas.,Maintained,Public,Private,"427.100.000,00","183.500.000,00",unknown,N/A,0,0,,,,,,,,,,,01/2012,Delivered ,,unknown,Delivered
São Paulo,Airport,International Airport of São Paulo/ Guarulhos – Gov. André Franco Montoro (5/8),Construction of new taxiing areas.,Removed,Public,Private,"20.000.000,00",N/A,unknown,N/A,0,N/A,,,,,,,,,,,06/2011,Unknown,,unknown,Shelved
São Paulo,Airport,São Paulo - Viracopos- Implantação do Módulo Operacional (6/8),Construction of the Operational Module.,Maintained,Public,Private,"5.000.000,00","4.900.000,00",unknown,N/A,0,0,,,,,,,,,,,04/2011,Delivered ,,07/1905,Delivered
São Paulo,Airport,Viracopos International Airport (7/8),Adaptation of the existing airport passenger terminal.,Removed,,Public,"47.400.000,00",N/A,"0,00",N/A,0,0,,,,,,,,,,,07/2013,Unknown,,,Unknown
São Paulo,Airport,Viracopos International Airport(8/8),Construction of a new airport passenger terminal and apron airport.,Removed,Public,Public,"689.600.000,00",N/A,"0,00",N/A,0,0,,,,,,,,,,,07/2013,Uncompleted,Yes,unknown,Delivered
São Paulo,Airport,"São Paulo - Viracopos- Concession for expansion, maintenance and operation of Viracopos International Airport - Phase 1B",N/A,Added,N/A,Private,N/A,"1.180.000.000,00","3.821.000.000,10",N/A,0,0,,,,,,,,,,,N/A,Delivered,,07/2012,Delivered
São Paulo,Port,Outeirinhos Wharf,Alignment of the pier and implementation of an internal access road to the port.,Maintained,,Public,"119.900.000,00","154.000.000,00","331.063.698,40",N/A,0,0,,,,,,,,,,,11/2013,Uncompleted,,,Uncompleted
